,time,state,action,reward,rep
52,52,0.7921115172344313,0.0,0.0,0
53,53,0.8153397056505218,0.03137707710266113,0.03137707710266113,0
54,54,0.6771867785799406,0.20981210470199585,0.20981210470199585,0
55,55,0.7427682322288796,0.0,0.0,0
56,56,0.800087307855019,0.0,0.0,0
57,57,0.7695766157110053,0.09259474277496338,0.09259474277496338,0
58,58,0.8227751501895456,0.0,0.0,0
59,59,0.6298243575502948,0.2670181393623352,0.2670181393623352,0
60,60,0.6997680484062907,0.0,0.0,0
61,61,0.7627958664570733,0.0,0.0,0
62,62,0.8170773662289962,0.0,0.0,0
63,63,0.6662545489916383,0.22317767143249512,0.22317767143249512,0
64,64,0.7329623764735144,0.0,0.0,0
65,65,0.7916809358178581,0.0,0.0,0
66,66,0.817760429210652,0.028073906898498535,0.028073906898498535,0
67,67,0.6619344462107025,0.22843211889266968,0.22843211889266968,0
68,68,0.7290676167498324,0.0,0.0,0
69,69,0.788326024836798,0.0,0.0,0
70,70,0.8364477804341643,0.00234222412109375,0.00234222412109375,0
71,71,0.5387576917756941,0.37230437994003296,0.37230437994003296,0
72,72,0.6133070441741602,0.0,0.0,0
73,73,0.6844554982963146,0.0,0.0,0
74,74,0.7492483490407921,0.0,0.0,0
75,75,0.8056109271909239,0.0,0.0,0
76,76,0.7368576428285678,0.13502323627471924,0.13502323627471924,0
77,77,0.7950271799386762,0.0,0.0,0
78,78,0.7988132538052626,0.0537494421005249,0.0537494421005249,0
79,79,0.777004229646837,0.08281207084655762,0.08281207084655762,0
80,80,0.8289848266741657,0.0,0.0,0
81,81,0.5891029284747233,0.314821720123291,0.314821720123291,0
82,82,0.6617211289158919,0.0,0.0,0
83,83,0.7288750118545427,0.0,0.0,0
84,84,0.7881598805391176,0.0,0.0,0
85,85,0.8373652607930046,0.001068115234375,0.001068115234375,0
86,86,0.5324625458867709,0.37937331199645996,0.37937331199645996,0
87,87,0.6071464008211357,0.0,0.0,0
88,88,0.6787022954584586,0.0,0.0,0
89,89,0.7441219423378219,0.0,0.0,0
90,90,0.8012432855185847,0.0,0.0,0
91,91,0.7627985929086325,0.10147213935852051,0.10147213935852051,0
92,92,0.8170796627782053,0.0,0.0,0
93,93,0.6662400671101506,0.22319531440734863,0.22319531440734863,0
94,94,0.7329493391363144,0.0,0.0,0
95,95,0.7916697207551008,0.0,0.0,0
96,96,0.817823392168033,0.027987897396087646,0.027987897396087646,0
97,97,0.6615354806381445,0.22891658544540405,0.22891658544540405,0
98,98,0.7287073671866455,0.0,0.0,0
99,99,0.7880152492450114,0.0,0.0,0
100,0,0.75,0.0,0.0,1
101,1,0.80625,0.0,0.0,1
102,2,0.7330177470814077,0.13993394374847412,0.13993394374847412,1
103,3,0.7917285659449392,0.0,0.0,1
104,4,0.8174929086784732,0.02843928337097168,0.02843928337097168,1
105,5,0.6636279708639925,0.22637414932250977,0.22637414932250977,1
106,6,0.7305957370092723,0.0,0.0,1
107,7,0.7896434188312175,0.0,0.0,1
108,8,0.8291466529440454,0.01244509220123291,0.01244509220123291,1
109,9,0.5880275213151323,0.31606781482696533,0.31606781482696533,1
110,10,0.6607028679624665,0.0,0.0,1
111,11,0.7279552444310579,0.0,0.0,1
112,12,0.7873661663919709,0.0,0.0,1
113,13,0.8375923723159255,0.0,0.0,1
114,14,0.5309005853352878,0.38112330436706543,0.38112330436706543,1
115,15,0.6056141314830688,0.0,0.0,1
116,16,0.6772678280523918,0.0,0.0,1
117,17,0.7428406631936681,0.0,0.0,1
118,18,0.800149186883566,0.0,0.0,1
119,19,0.7692146757317875,0.09306997060775757,0.09306997060775757,1
120,20,0.8224717132429761,0.0,0.0,1
