#{"t_start": 1607536640.6441472, "env_id": "fishing-v1"}
r,l,t
0.75,1,0.366674
0.75,1,0.367528
0.75,1,0.368367
0.75,1,0.370107
0.75,1,0.370996
0.75,1,0.371863
0.75,1,0.372699
0.75,1,0.373588
0.75,1,0.374421
0.75,1,0.375261
0.75,1,0.376132
0.75,1,0.37697
0.75,1,0.377804
0.75,1,0.37864
0.75,1,0.379481
0.75,1,0.380314
0.75,1,0.381143
0.75,1,0.381971
0.75,1,0.382804
0.75,1,0.383712
0.75,1,0.384543
0.75,1,0.385382
0.75,1,0.386217
0.75,1,0.387048
0.75,1,0.387915
0.75,1,0.38874
0.75,1,0.389564
0.75,1,0.390381
0.75,1,0.39121
0.75,1,0.392055
0.75,1,0.392894
0.75,1,0.393726
0.75,1,0.394561
0.75,1,0.395405
0.75,1,0.396242
0.75,1,0.397071
0.75,1,0.397904
0.75,1,0.39874
0.75,1,0.399587
0.75,1,0.400426
0.75,1,0.401261
0.75,1,0.402089
0.75,1,0.402938
0.75,1,0.403817
0.75,1,0.404653
0.75,1,0.405483
0.75,1,0.406299
0.75,1,0.407128
0.75,1,0.40799
0.75,1,0.408836
0.75,1,0.409667
0.75,1,0.4105
0.75,1,0.411332
0.75,1,0.412185
0.75,1,0.413019
0.75,1,0.413852
0.75,1,0.414684
0.75,1,0.415553
0.75,1,0.416399
0.75,1,0.417348
0.75,1,0.418184
0.75,1,0.419018
0.75,1,0.419871
0.75,1,0.420811
0.75,1,0.421642
0.75,1,0.42248
0.75,1,0.423323
0.75,1,0.424173
0.75,1,0.425019
0.75,1,0.42585
0.75,1,0.426683
0.75,1,0.427538
0.75,1,0.428365
0.75,1,0.429223
0.75,1,0.430076
0.75,1,0.430923
0.75,1,0.431803
0.75,1,0.43265
0.75,1,0.43349
0.75,1,0.434331
0.75,1,0.435165
0.75,1,0.436029
0.75,1,0.436869
0.75,1,0.437714
0.75,1,0.43857
0.75,1,0.439424
0.75,1,0.440251
0.75,1,0.441086
0.75,1,0.441921
0.75,1,0.442756
0.75,1,0.443631
0.75,1,0.444475
0.75,1,0.445314
0.75,1,0.446155
0.75,1,0.447003
0.75,1,0.447869
0.75,1,0.448711
0.75,1,0.449548
0.75,1,0.450384
0.75,1,0.451211
0.75,1,0.452067
0.75,1,0.452907
0.75,1,0.453745
0.75,1,0.454578
0.75,1,0.455436
0.75,1,0.456275
0.75,1,0.457115
0.75,1,0.457951
0.75,1,0.458785
0.75,1,0.459649
0.75,1,0.460501
0.75,1,0.461337
0.75,1,0.462166
0.75,1,0.462998
0.75,1,0.463865
0.75,1,0.464688
0.75,1,0.465522
0.75,1,0.466358
0.75,1,0.467196
0.75,1,0.468046
0.75,1,0.468891
0.75,1,0.469728
0.75,1,0.470562
0.75,1,0.471412
0.75,1,0.47225
0.75,1,0.473093
0.75,1,0.473913
0.75,1,0.47473
0.75,1,0.475579
0.75,1,0.476415
0.75,1,0.477251
0.75,1,0.47809
0.75,1,0.478926
0.75,1,0.479839
0.75,1,0.480674
0.75,1,0.481513
0.75,1,0.48235
0.75,1,0.48328
0.75,1,0.484152
0.75,1,0.484989
0.75,1,0.485832
0.75,1,0.486646
0.75,1,0.487473
0.75,1,0.48831
0.75,1,0.489145
0.75,1,0.489985
0.75,1,0.490828
0.75,1,0.491704
0.75,1,0.492533
0.75,1,0.49337
0.75,1,0.494205
0.75,1,0.495036
0.75,1,0.495891
0.75,1,0.49674
0.75,1,0.497579
0.75,1,0.498417
0.75,1,0.499253
0.75,1,0.500104
0.75,1,0.500942
0.75,1,0.50177
0.75,1,0.502601
0.75,1,0.503458
0.75,1,0.504307
0.75,1,0.505164
0.75,1,0.505999
0.75,1,0.506831
0.75,1,0.507689
0.75,1,0.508528
0.75,1,0.50936
0.75,1,0.510196
0.75,1,0.511025
0.75,1,0.511869
0.75,1,0.512714
0.75,1,0.513552
0.75,1,0.514387
0.75,1,0.51522
0.75,1,0.516139
0.75,1,0.516965
0.75,1,0.517811
0.75,1,0.518674
0.75,1,0.519526
0.75,1,0.520365
0.75,1,0.521199
0.75,1,0.522034
0.75,1,0.522869
0.75,1,0.523734
0.75,1,0.524566
0.75,1,0.525396
0.75,1,0.526227
0.75,1,0.527064
0.75,1,0.527947
0.75,1,0.528767
0.75,1,0.529603
0.75,1,0.530435
0.75,1,0.531368
0.75,1,0.532209
0.75,1,0.53364
0.75,1,0.53449
0.75,1,0.535327
0.75,1,0.536175
0.75,1,0.537009
0.75,1,0.537853
0.75,1,0.538681
0.75,1,0.53954
0.75,1,0.540361
0.75,1,0.541194
0.75,1,0.542027
0.75,1,0.542856
0.75,1,0.543907
0.75,1,0.544732
0.75,1,0.545582
0.75,1,0.546411
0.75,1,0.547267
0.75,1,0.548108
0.75,1,0.548944
0.75,1,0.549781
0.75,1,0.550618
0.75,1,0.551473
0.75,1,0.55231
0.75,1,0.553145
0.75,1,0.553978
0.75,1,0.554817
0.75,1,0.55566
0.75,1,0.5565
0.75,1,0.557344
0.75,1,0.558189
0.75,1,0.559044
0.75,1,0.559911
0.75,1,0.560755
0.75,1,0.561599
0.75,1,0.562432
0.75,1,0.563266
0.75,1,0.564114
0.75,1,0.564949
0.75,1,0.565786
0.75,1,0.566616
0.75,1,0.567454
0.75,1,0.568292
0.75,1,0.56912
0.75,1,0.569953
0.75,1,0.570792
0.75,1,0.571701
0.75,1,0.572546
0.75,1,0.573388
0.75,1,0.574263
0.75,1,0.575092
0.75,1,0.575962
0.75,1,0.576797
0.75,1,0.577632
0.75,1,0.57846
0.75,1,0.579291
0.75,1,0.580152
0.75,1,0.581001
0.75,1,0.581842
0.75,1,0.582675
0.75,1,0.58354
0.75,1,0.584385
0.75,1,0.585225
0.75,1,0.586053
0.75,1,0.586896
0.75,1,0.58775
0.75,1,0.588586
0.75,1,0.589431
0.75,1,0.590263
0.75,1,0.59109
0.75,1,0.591933
0.75,1,0.592763
0.75,1,0.593595
0.75,1,0.594429
0.75,1,0.595256
0.75,1,0.596121
0.75,1,0.59696
0.75,1,0.597794
0.75,1,0.598635
0.75,1,0.599478
0.75,1,0.600327
0.75,1,0.601161
0.75,1,0.601996
0.75,1,0.602831
0.75,1,0.603674
0.75,1,0.604516
0.75,1,0.605346
0.75,1,0.606179
0.75,1,0.607006
0.75,1,0.60787
0.75,1,0.60871
0.75,1,0.609542
0.75,1,0.610373
0.75,1,0.611204
0.75,1,0.612061
0.75,1,0.612899
0.75,1,0.613732
0.75,1,0.614561
0.75,1,0.615437
0.75,1,0.616275
0.75,1,0.617108
0.75,1,0.617939
0.75,1,0.618775
0.75,1,0.619628
0.75,1,0.620458
0.75,1,0.621294
0.75,1,0.622132
0.75,1,0.622969
0.75,1,0.623812
0.75,1,0.624649
0.75,1,0.62548
0.75,1,0.626306
0.75,1,0.627146
0.75,1,0.628009
0.75,1,0.628841
0.75,1,0.629678
0.75,1,0.630523
0.75,1,0.631373
0.75,1,0.632219
0.75,1,0.633054
0.75,1,0.633886
0.75,1,0.634717
0.75,1,0.63556
0.75,1,0.636394
0.75,1,0.63723
0.75,1,0.638068
0.75,1,0.63889
0.75,1,0.639742
0.75,1,0.64058
0.75,1,0.641412
0.75,1,0.64224
0.75,1,0.643071
0.75,1,0.643917
0.75,1,0.644752
0.75,1,0.645582
0.75,1,0.646416
0.75,1,0.647249
0.75,1,0.648109
0.75,1,0.64895
0.75,1,0.649786
0.75,1,0.650619
0.75,1,0.651473
0.75,1,0.652315
0.75,1,0.653161
0.75,1,0.65401
0.75,1,0.654845
0.75,1,0.655705
0.75,1,0.656528
0.75,1,0.65736
0.75,1,0.658187
0.75,1,0.659018
0.75,1,0.659865
0.75,1,0.660702
0.75,1,0.661531
0.75,1,0.66236
0.75,1,0.663192
0.75,1,0.664036
0.75,1,0.664871
0.75,1,0.6657
0.75,1,0.666526
0.75,1,0.667358
0.75,1,0.668212
0.75,1,0.669047
0.75,1,0.669884
0.75,1,0.670712
0.75,1,0.671565
0.75,1,0.672401
0.75,1,0.673232
0.75,1,0.674067
0.75,1,0.674899
0.75,1,0.675737
0.75,1,0.676565
0.75,1,0.677404
0.75,1,0.67824
0.75,1,0.679074
0.75,1,0.679924
0.75,1,0.68076
0.75,1,0.681592
0.75,1,0.682421
0.75,1,0.68325
0.75,1,0.68411
0.75,1,0.684947
0.75,1,0.685778
0.75,1,0.686606
0.75,1,0.687451
0.75,1,0.688286
0.75,1,0.689119
0.75,1,0.689948
0.75,1,0.690784
0.75,1,0.691636
0.75,1,0.692495
0.75,1,0.693327
0.75,1,0.694161
0.75,1,0.694991
0.75,1,0.695842
0.75,1,0.696659
0.75,1,0.697471
0.75,1,0.698287
0.75,1,0.699098
0.75,1,0.69993
0.75,1,0.700764
0.75,1,0.701595
0.75,1,0.702418
0.75,1,0.703244
0.75,1,0.704097
0.75,1,0.70493
0.75,1,0.705754
0.75,1,0.706584
0.75,1,0.707432
0.75,1,0.708266
0.75,1,0.709095
0.75,1,0.709923
0.75,1,0.710748
0.75,1,0.711585
0.75,1,0.712415
0.75,1,0.713242
0.75,1,0.714069
0.75,1,0.714896
0.75,1,0.715741
0.75,1,0.716577
0.75,1,0.71741
0.75,1,0.718237
0.75,1,0.719064
0.75,1,0.719902
0.75,1,0.720735
0.75,1,0.721562
0.75,1,0.72239
0.75,1,0.723219
0.75,1,0.724073
0.75,1,0.724902
0.75,1,0.725731
0.75,1,0.726558
0.75,1,0.72739
0.75,1,0.728245
0.75,1,0.729079
0.75,1,0.729913
0.75,1,0.730744
0.75,1,0.731586
0.75,1,0.732421
0.75,1,0.733246
0.75,1,0.734083
0.75,1,0.734911
0.75,1,0.735762
0.75,1,0.73659
0.75,1,0.737417
0.75,1,0.738249
0.75,1,0.739075
0.75,1,0.739906
0.75,1,0.74072
0.75,1,0.741533
0.75,1,0.742343
0.75,1,0.743163
0.75,1,0.744004
0.75,1,0.744815
0.75,1,0.745627
0.75,1,0.746439
0.75,1,0.747251
0.75,1,0.748098
0.75,1,0.748928
0.75,1,0.749756
0.75,1,0.750579
0.75,1,0.751419
0.75,1,0.752254
0.75,1,0.753081
0.75,1,0.753908
0.75,1,0.754737
0.75,1,0.755586
0.75,1,0.756421
0.75,1,0.757248
0.75,1,0.75807
0.75,1,0.758899
0.75,1,0.759738
0.75,1,0.760579
0.75,1,0.761406
0.75,1,0.762234
0.75,1,0.76306
0.75,1,0.763903
0.75,1,0.764732
0.75,1,0.765556
0.75,1,0.766388
0.75,1,0.767219
0.75,1,0.768059
0.75,1,0.768884
0.75,1,0.769719
0.75,1,0.770542
0.75,1,0.771371
0.75,1,0.772214
0.75,1,0.773042
0.75,1,0.773872
0.75,1,0.774695
0.75,1,0.77555
0.75,1,0.776379
0.75,1,0.777208
0.75,1,0.778053
0.75,1,0.778882
0.75,1,0.779728
0.75,1,0.780558
0.75,1,0.781387
0.75,1,0.782221
0.75,1,0.783051
0.75,1,0.7839
0.75,1,0.784734
0.75,1,0.785564
0.75,1,0.786396
0.75,1,0.787233
0.75,1,0.788082
0.75,1,0.78891
0.75,1,0.789739
0.75,1,0.790567
0.75,1,0.791415
0.75,1,0.79225
0.75,1,0.79312
0.75,1,0.793948
0.75,1,0.794775
0.75,1,0.795626
0.75,1,0.796459
0.75,1,0.797289
0.75,1,0.79812
0.75,1,0.798948
0.75,1,0.799791
0.75,1,0.800627
0.75,1,0.801458
0.75,1,0.802284
0.75,1,0.803113
0.75,1,0.803958
0.75,1,0.804785
0.75,1,0.805611
0.75,1,0.806437
0.75,1,0.807263
0.75,1,0.808113
0.75,1,0.808948
0.75,1,0.809775
0.75,1,0.810602
0.75,1,0.811456
0.75,1,0.812278
0.75,1,0.813099
0.75,1,0.813915
0.75,1,0.814731
0.75,1,0.815557
0.75,1,0.816383
0.75,1,0.817212
0.75,1,0.818039
0.75,1,0.818866
0.75,1,0.819703
0.75,1,0.820533
0.75,1,0.82136
0.75,1,0.822193
0.75,1,0.823023
0.75,1,0.823873
0.75,1,0.824709
0.75,1,0.825536
0.75,1,0.826365
0.75,1,0.827199
0.75,1,0.828052
0.75,1,0.828882
0.75,1,0.829703
0.75,1,0.83053
0.75,1,0.831353
0.75,1,0.832199
0.75,1,0.833014
0.75,1,0.833827
0.75,1,0.834659
0.75,1,0.835513
0.75,1,0.836345
0.75,1,0.837179
0.75,1,0.838005
0.75,1,0.83884
0.75,1,0.839683
0.75,1,0.840512
0.75,1,0.841342
0.75,1,0.842174
0.75,1,0.843002
0.75,1,0.843849
0.75,1,0.844682
0.75,1,0.845516
0.75,1,0.846345
0.75,1,0.847173
0.75,1,0.848023
0.75,1,0.848856
0.75,1,0.849683
0.75,1,0.850514
0.75,1,0.851346
0.75,1,0.852206
0.75,1,0.85303
0.75,1,0.853865
0.75,1,0.854717
0.75,1,0.855562
0.75,1,0.856397
0.75,1,0.857234
0.75,1,0.858057
0.75,1,0.85888
0.75,1,0.859716
0.75,1,0.860551
0.75,1,0.86139
0.75,1,0.86222
0.75,1,0.863046
0.75,1,0.863896
0.75,1,0.864728
0.75,1,0.865545
0.75,1,0.86636
0.75,1,0.867175
0.75,1,0.867999
0.75,1,0.868819
0.75,1,0.869635
0.75,1,0.870454
0.75,1,0.871268
0.75,1,0.872128
0.75,1,0.872963
0.75,1,0.873804
0.75,1,0.874665
0.75,1,0.875509
0.75,1,0.876344
0.75,1,0.877175
0.75,1,0.878011
0.75,1,0.878841
0.75,1,0.879703
0.75,1,0.880536
0.75,1,0.881365
0.75,1,0.882195
0.75,1,0.883034
0.75,1,0.883882
0.75,1,0.884699
0.75,1,0.885514
0.75,1,0.886332
0.75,1,0.887167
0.75,1,0.888016
0.75,1,0.888848
0.75,1,0.889676
0.75,1,0.890509
0.75,1,0.891338
0.75,1,0.892197
0.75,1,0.893028
0.75,1,0.893859
0.75,1,0.894689
0.75,1,0.895531
0.75,1,0.896364
0.75,1,0.897192
0.75,1,0.898021
0.75,1,0.898855
0.75,1,0.899698
0.75,1,0.900537
0.75,1,0.901378
0.75,1,0.902211
0.75,1,0.903044
0.75,1,0.903907
0.75,1,0.904749
0.75,1,0.905593
0.75,1,0.940943
0.75,1,0.984031
0.75,1,0.989063
0.75,1,0.990755
0.75,1,1.03189
0.75,1,1.075699
0.75,1,1.109391
0.75,1,1.155584
0.75,1,1.198804
0.75,1,1.229357
0.75,1,1.242145
0.75,1,1.242986
0.75,1,1.24393
0.75,1,1.244763
0.75,1,1.245645
0.75,1,1.246469
0.75,1,1.247292
0.75,1,1.24831
0.75,1,1.249351
0.75,1,1.250191
0.75,1,1.251134
0.75,1,1.251981
0.75,1,1.252848
0.75,1,1.253686
0.75,1,1.254546
0.75,1,1.255556
0.75,1,1.256397
0.75,1,1.257398
0.75,1,1.258712
0.75,1,1.259724
0.75,1,1.260559
0.75,1,1.261554
0.75,1,1.262556
0.75,1,1.26364
0.75,1,1.264642
0.75,1,1.265584
0.75,1,1.266415
0.75,1,1.267678
0.75,1,1.268634
0.75,1,1.269469
0.75,1,1.270295
0.75,1,1.271458
0.75,1,1.272295
0.75,1,1.273125
0.75,1,1.274119
0.75,1,1.274945
0.75,1,1.27579
0.75,1,1.276948
0.75,1,1.277843
0.75,1,1.278777
0.75,1,1.279661
0.75,1,1.28065
0.75,1,1.281648
0.75,1,1.282477
0.75,1,1.283304
0.75,1,1.284261
0.75,1,1.285511
0.75,1,1.286663
0.75,1,1.28751
0.75,1,1.288443
0.75,1,1.289373
0.75,1,1.290365
0.75,1,1.291199
0.75,1,1.292202
0.75,1,1.293146
