,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_episodic,params_gamma,params_lr,params_net_arch,params_noise_std,params_noise_type,params_tau,params_train_freq,state
73,73,446.125759,2020-12-19 14:37:26.335203,2020-12-19 15:20:07.886392,0 days 00:42:41.551189,100,1000000,False,0.999,0.0003536271114705968,medium,0.4512185021719267,,0.01,1000.0,COMPLETE
74,74,446.125759,2020-12-19 15:20:07.908632,2020-12-19 16:02:50.592202,0 days 00:42:42.683570,128,100000,True,0.95,0.002013645749606561,big,0.16637094213062642,ornstein-uhlenbeck,0.02,,COMPLETE
75,75,446.125759,2020-12-19 16:02:50.613364,2020-12-19 16:44:04.921484,0 days 00:41:14.308120,128,10000,True,0.98,0.00010361269152757248,small,0.422900750011558,normal,0.005,,COMPLETE
76,76,446.125759,2020-12-19 16:44:04.955416,2020-12-19 17:26:56.755908,0 days 00:42:51.800492,100,100000,True,0.99,1.6856254905246073e-05,medium,0.3019662566328999,normal,0.005,,COMPLETE
77,77,446.125759,2020-12-19 17:26:56.776210,2020-12-19 18:09:07.572233,0 days 00:42:10.796023,64,1000000,True,0.9,0.07375308137897338,big,0.6421557032399434,ornstein-uhlenbeck,0.01,,COMPLETE
78,78,446.125759,2020-12-19 18:09:07.592223,2020-12-19 18:48:05.051494,0 days 00:38:57.459271,100,10000,False,0.995,0.03906776105819277,small,0.4105047486759814,,0.005,1000.0,COMPLETE
79,79,446.125759,2020-12-19 18:48:05.070767,2020-12-19 19:27:09.790563,0 days 00:39:04.719796,128,1000000,False,0.995,0.3813222232503433,small,0.8439421218420233,normal,0.02,128.0,COMPLETE
80,80,446.125759,2020-12-19 19:27:09.809771,2020-12-19 20:06:42.299669,0 days 00:39:32.489898,32,1000000,True,0.9,0.00053993852765645,big,0.517684335032933,,0.001,,COMPLETE
81,81,446.125759,2020-12-19 20:06:42.319579,2020-12-19 20:45:41.557637,0 days 00:38:59.238058,128,1000000,False,0.95,0.00913469867851557,small,0.23217992160111656,,0.005,16.0,COMPLETE
82,82,446.125759,2020-12-19 20:45:41.576927,2020-12-19 21:25:13.192015,0 days 00:39:31.615088,32,100000,True,0.995,0.00029862361883021226,big,0.8502921685291206,ornstein-uhlenbeck,0.001,,COMPLETE
