,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_ent_coef,params_gae_lambda,params_gamma,params_log_std_init,params_lr,params_lr_schedule,params_max_grad_norm,params_n_steps,params_net_arch,params_normalize_advantage,params_ortho_init,params_use_rms_prop,params_vf_coef,system_attrs_fail_reason,state
33,33,27.7896254,2021-01-01 20:04:37.559977,2021-01-01 20:09:48.689989,0 days 00:05:11.130012,tanh,0.09741101382156157,0.9,0.9999,-2.148627359158819,0.0005821119993702985,constant,0.9,32,medium,False,True,False,0.9287939278228076,,PRUNED
34,34,34.542410600000004,2021-01-01 20:09:48.702313,2021-01-01 20:27:31.792964,0 days 00:17:43.090651,tanh,0.0006395229668592346,0.92,0.98,-3.073653156058729,9.683446797485876e-05,constant,5.0,32,medium,False,True,False,0.9883767685670769,,COMPLETE
35,35,-40.3622866,2021-01-01 20:11:12.094621,2021-01-01 20:15:41.749945,0 days 00:04:29.655324,tanh,0.0006237526277759415,1.0,0.98,-2.9369958448751867,8.670357276781786e-05,constant,0.3,1024,medium,False,True,False,0.9959567004286323,,PRUNED
36,36,-37.8276884,2021-01-01 20:12:11.467070,2021-01-01 20:16:40.949889,0 days 00:04:29.482819,tanh,0.0006335178795530615,1.0,0.98,-2.9837826319171246,0.00011387836339669399,constant,0.7,1024,medium,False,True,False,0.03203818920623652,,PRUNED
37,37,-43.994654999999995,2021-01-01 20:15:41.762037,2021-01-01 20:20:13.047201,0 days 00:04:31.285164,tanh,0.0021568141476898213,0.9,0.98,-1.1739521074691088,1.0287457580475648e-05,constant,0.7,512,small,False,False,False,0.9183402875181974,,PRUNED
38,38,31.3329386,2021-01-01 20:16:40.964262,2021-01-01 20:33:06.729684,0 days 00:16:25.765422,tanh,0.004024059718739005,0.9,0.95,-1.146581242314018,1.0264165296070167e-05,constant,0.6,64,small,False,False,False,0.9152871580318298,,COMPLETE
39,39,30.970530000000004,2021-01-01 20:16:49.489276,2021-01-01 20:33:05.183231,0 days 00:16:15.693955,tanh,0.002935079396955457,0.92,0.95,-1.043570092468493,1.0023773089272485e-05,constant,1.0,64,small,False,False,True,0.9115009510911861,,COMPLETE
40,40,-187.40475800000002,2021-01-01 20:20:13.063430,2021-01-01 20:25:00.979591,0 days 00:04:47.916161,tanh,8.153464133171244e-06,0.95,0.95,-3.826305447696494,0.0030269621864159567,constant,0.6,64,medium,False,False,True,0.8897127437247823,,PRUNED
41,41,26.4728328,2021-01-01 20:25:00.990988,2021-01-01 20:39:48.096287,0 days 00:14:47.105299,tanh,0.0001820833936281975,0.92,0.9,-2.273757125875238,0.0010231645122245683,linear,1.0,2048,medium,False,False,True,0.7556799751223723,,COMPLETE
42,42,-40.6910664,2021-01-01 20:27:31.822848,2021-01-01 20:32:06.440520,0 days 00:04:34.617672,tanh,0.0001387624604952474,0.92,0.9,-2.117096800883667,2.103042434692524e-05,linear,5.0,2048,medium,False,True,False,0.3645727202488822,,PRUNED
43,43,30.777443600000005,2021-01-01 20:32:06.453684,2021-01-01 20:48:55.908527,0 days 00:16:49.454843,tanh,0.003937483566615977,0.99,0.98,-2.9940508615852455,0.0008779306854889695,constant,1.0,32,medium,False,True,False,0.748733553657984,,COMPLETE
44,44,31.871786399999998,2021-01-01 20:33:05.216856,2021-01-01 20:52:22.675071,0 days 00:19:17.458215,tanh,0.0011671548231750525,0.99,0.98,-2.932824073646186,0.0009145241660102683,constant,5.0,16,medium,False,True,False,0.8475360519196791,,COMPLETE
45,45,28.7336012,2021-01-01 20:33:06.763216,2021-01-01 20:52:25.971400,0 days 00:19:19.208184,tanh,0.0012643125372858435,0.92,0.98,-2.9534295171964113,0.0008586855930201737,constant,5.0,16,medium,False,True,False,0.9978841956686058,,COMPLETE
46,46,34.4962318,2021-01-01 20:39:48.194479,2021-01-01 20:56:19.756166,0 days 00:16:31.561687,tanh,0.0013229271759208371,0.99,0.98,-2.9965551239124752,0.005211443634177518,constant,5.0,32,medium,True,True,False,0.8485721414837978,,COMPLETE
47,47,29.148834600000004,2021-01-01 20:48:55.940108,2021-01-01 21:07:55.822252,0 days 00:18:59.882144,tanh,0.03024496536374849,0.92,0.98,-3.9383893167187525,0.004084808706034889,constant,5.0,16,medium,True,True,False,0.9949887875333308,,COMPLETE
48,48,32.6019518,2021-01-01 20:52:22.705587,2021-01-01 21:11:28.015379,0 days 00:19:05.309792,tanh,0.0013718036158092636,0.99,0.98,-3.740233806524894,0.0004142607186718577,constant,5.0,16,medium,True,True,False,0.6074596775093786,,COMPLETE
