,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_ent_coef,params_gae_lambda,params_gamma,params_log_std_init,params_lr,params_lr_schedule,params_max_grad_norm,params_n_steps,params_net_arch,params_normalize_advantage,params_ortho_init,params_use_rms_prop,params_vf_coef,state
38,38,0.75,2020-11-19 22:19:57.425946,2020-11-19 22:25:00.556437,0 days 00:05:03.130491,relu,1.1250562612461017e-06,1.0,0.99,-3.2238286685966573,0.09636067687171743,constant,2.0,8.0,small,True,True,True,0.1337908582051197,PRUNED
39,39,0.75,2020-11-19 22:21:36.400918,2020-11-19 22:24:39.438898,0 days 00:03:03.037980,relu,1.5188831777603724e-06,0.8,0.995,-0.5892087992265762,0.00011118955908550255,constant,0.3,256.0,small,True,False,False,0.6904116895024509,PRUNED
40,40,5.146358966827393,2020-11-19 22:23:52.022513,2020-11-19 22:27:59.041103,0 days 00:04:07.018590,tanh,0.00016671817783073134,0.9,0.9999,-1.0444455859442776,0.004848332385256998,constant,2.0,64.0,small,False,True,True,0.5617858807515005,COMPLETE
41,41,0.75,2020-11-19 22:24:39.457681,2020-11-19 22:27:59.917746,0 days 00:03:20.460065,tanh,0.00019307040233366104,0.99,0.999,-3.0245873881232748,0.0003738749298938207,constant,0.3,8.0,medium,False,False,True,0.8805513013335936,PRUNED
42,42,1.177823781967163,2020-11-19 22:25:00.576773,2020-11-19 22:30:01.505308,0 days 00:05:00.928535,tanh,0.0006759240923747393,0.9,0.995,0.3697512382656942,0.00014233380443666945,linear,5.0,16.0,medium,True,True,False,0.16782932996547728,COMPLETE
43,43,0.75,2020-11-19 22:27:59.074002,2020-11-19 22:30:46.236724,0 days 00:02:47.162722,relu,0.0010194934225839507,0.99,0.95,-2.0528222391803093,0.0001298409480053835,linear,0.5,16.0,medium,True,True,False,0.20644288054434712,PRUNED
44,44,1.1323343515396118,2020-11-19 22:27:59.936691,2020-11-19 22:32:03.979218,0 days 00:04:04.042527,relu,0.018886808464487266,0.9,0.99,-0.8597988403177252,0.0010697163988617083,constant,2.0,64.0,medium,False,False,True,0.15355486555808762,COMPLETE
45,45,1.1773065328598022,2020-11-19 22:30:01.541345,2020-11-19 22:34:15.761635,0 days 00:04:14.220290,relu,0.0006442285489032328,0.9,0.99,0.7763545903052886,0.08856835413709752,linear,2.0,64.0,medium,True,False,True,0.9307119957036197,COMPLETE
46,46,0.75,2020-11-19 22:30:46.256417,2020-11-19 22:32:06.122592,0 days 00:01:19.866175,relu,0.000245042225443085,0.9,0.995,-2.209524378289438,0.1476325078304072,linear,5.0,2048.0,small,True,False,True,0.3385667311511852,PRUNED
47,47,0.75,2020-11-19 22:32:04.015512,2020-11-19 22:33:54.882080,0 days 00:01:50.866568,relu,0.0006061419915966421,0.99,0.95,-1.5729223701221149,0.08637528263988903,constant,0.6,16.0,small,True,True,False,0.5212540870174711,PRUNED
48,48,0.75,2020-11-19 22:32:06.145127,2020-11-19 22:33:29.147394,0 days 00:01:23.002267,tanh,0.037313194991527965,1.0,0.99,-1.4418950469199387,0.027424265092986073,linear,1.0,128.0,medium,False,True,True,0.216430885312217,PRUNED
49,49,0.75,2020-11-19 22:33:29.177887,2020-11-19 22:34:54.486939,0 days 00:01:25.309052,tanh,0.02458304201833177,0.9,0.95,-2.1330030829701045,0.19564526039174057,constant,0.5,1024.0,small,False,False,False,0.5160155207865577,PRUNED
50,50,0.75,2020-11-19 22:33:54.900879,2020-11-19 22:35:22.461540,0 days 00:01:27.560661,relu,0.006400246438355546,0.92,0.98,-3.1367963447334484,0.00016025677146525564,linear,0.6,2048.0,medium,True,False,True,0.2828077701625964,PRUNED
51,51,0.75,2020-11-19 22:34:15.808418,2020-11-19 22:35:36.279035,0 days 00:01:20.470617,relu,5.197097103854177e-06,1.0,0.9999,-1.4677397965388668,0.0005961238563283628,linear,0.6,512.0,small,False,True,True,0.2657692455111398,PRUNED
52,52,0.0,2020-11-19 22:34:54.501533,2020-11-19 22:35:47.976521,0 days 00:00:53.474988,tanh,7.081770501225486e-07,0.99,0.98,0.4073740055124784,0.15276342980156998,linear,5.0,128.0,small,False,False,True,0.2716082463328956,PRUNED
53,53,0.012527858838438988,2020-11-19 22:41:53.018191,2020-11-19 22:43:09.040925,0 days 00:01:16.022734,tanh,3.073129950526603e-08,1.0,0.999,-1.719512602037364,6.519175528005751e-05,linear,0.6,256.0,medium,True,False,False,0.18871870733011642,PRUNED
54,54,0.75,2020-11-19 22:41:53.060058,2020-11-19 22:43:13.412705,0 days 00:01:20.352647,relu,4.133362603662737e-05,0.99,0.95,-3.7884165529919316,0.0018602712882208217,constant,2.0,2048.0,medium,False,True,True,0.1917822509001078,PRUNED
55,55,0.75,2020-11-19 22:41:53.078516,2020-11-19 22:44:19.081182,0 days 00:02:26.002666,tanh,0.006020767011805661,0.95,0.98,-1.3425897689722985,0.644869230867219,constant,2.0,8.0,small,False,False,False,0.8656747166647437,PRUNED
56,56,0.75,2020-11-19 22:43:09.060468,2020-11-19 22:44:57.045040,0 days 00:01:47.984572,relu,0.001496227305521087,0.95,0.9,-1.2934005345166897,0.10088802558137387,constant,0.9,16.0,small,True,True,True,0.19030747912254953,PRUNED
57,57,0.75,2020-11-19 22:43:13.430551,2020-11-19 22:44:34.580669,0 days 00:01:21.150118,tanh,0.07243947611688001,0.99,0.98,-0.8820281253256561,0.05075985293547068,linear,1.0,256.0,medium,True,True,False,0.47573419577388487,PRUNED
58,58,0.75,2020-11-19 22:44:19.099246,2020-11-19 22:46:12.131020,0 days 00:01:53.031774,tanh,0.00023968593938047895,0.92,0.95,-3.8190022883534707,0.000190272072298986,linear,0.3,16.0,small,False,True,False,0.5036183531877941,PRUNED
59,59,0.75,2020-11-19 22:44:34.601585,2020-11-19 22:46:10.952578,0 days 00:01:36.350993,tanh,1.0607248937325569e-08,1.0,0.999,-3.9829311047637277,4.8772831703659814e-05,linear,0.7,32.0,small,False,False,True,0.7400189416642576,PRUNED
60,60,0.75,2020-11-19 22:44:57.063885,2020-11-19 22:46:19.684290,0 days 00:01:22.620405,relu,3.0821683631319554e-08,0.99,0.99,-0.6356257978114424,6.877839132746315e-05,linear,2.0,1024.0,small,False,False,True,0.4055462042955571,PRUNED
