,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_log_std_init,params_lr,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_sde_sample_freq,params_vf_coef,state
10,10,4.376962184906006,2020-12-03 06:23:50.015935,2020-12-03 06:32:52.050609,0 days 00:09:02.034674,tanh,256,0.3,5.0382842765672725e-05,0.92,0.9999,-1.7960619967710687,0.0014235580685604471,5.0,10,1024,medium,64,0.719907432014087,COMPLETE
11,11,0.75,2020-12-03 06:32:52.092760,2020-12-03 07:35:19.261565,0 days 01:02:27.168805,tanh,32,0.1,0.09077623084545407,0.8,0.999,-3.50141239771391,0.002789266946564685,0.3,20,64,small,256,0.2403301709824368,COMPLETE
12,12,0.75,2020-12-03 06:41:09.791178,2020-12-03 08:32:01.967230,0 days 01:50:52.176052,relu,8,0.2,1.7570992579056864e-06,0.98,0.9999,-2.4169840221146868,0.2632261462807749,0.7,10,8,medium,256,0.43508226018614793,COMPLETE
13,13,,2020-12-03 07:17:42.586668,,,relu,64,0.2,0.03382577013828686,0.95,0.9,-3.073154365846495,0.00018800477302850985,0.7,20,8,small,16,0.05168734566402777,RUNNING
14,14,1.5972375869750977,2020-12-03 07:35:19.291208,2020-12-03 08:08:49.380271,0 days 00:33:30.089063,tanh,16,0.4,5.899551247965113e-07,0.95,0.995,-0.9574043528615057,1.4760883241148493e-05,2.0,5,256,medium,32,0.17093525536492948,COMPLETE
15,15,,2020-12-03 07:52:55.383306,,,tanh,8,0.3,2.1720924249617076e-06,0.9,0.95,-1.7212898571988586,0.6266635392472649,0.6,20,8,medium,16,0.8362812878389839,RUNNING
16,16,0.6947459578514099,2020-12-03 08:08:49.419752,2020-12-03 08:10:45.867290,0 days 00:01:56.447538,tanh,512,0.4,2.7002790230568095e-05,0.92,0.999,-3.3751543845846563,0.043911421393595065,0.7,1,64,small,8,0.2032651376084994,PRUNED
17,17,0.7563182711601257,2020-12-03 08:10:45.879227,2020-12-03 08:45:24.214147,0 days 00:34:38.334920,relu,32,0.2,1.3643793807910592e-05,0.95,0.99,0.11809730738122148,1.709319718098385e-05,2.0,5,16,small,8,0.04481287926072974,COMPLETE
18,18,0.75,2020-12-03 08:32:02.007462,2020-12-03 08:38:38.838803,0 days 00:06:36.831341,relu,512,0.2,7.913385979616966e-06,0.99,0.95,-0.6263519269626139,0.011763124631278406,0.6,10,1024,medium,16,0.7810225011642967,COMPLETE
19,19,0.21393482387065887,2020-12-03 08:38:38.883645,2020-12-03 08:42:05.381512,0 days 00:03:26.497867,relu,128,0.1,0.0013939233836506514,0.98,0.9999,0.11172143909923715,5.9099746285712865e-05,1.0,10,256,medium,8,0.021015961743300227,PRUNED
20,20,0.0,2020-12-03 08:42:05.399773,2020-12-03 08:43:59.567093,0 days 00:01:54.167320,tanh,512,0.1,1.395002952036699e-05,0.99,0.9999,-0.4226397468194478,0.27780271649273575,5.0,1,64,small,8,0.39183187306159284,PRUNED
21,21,0.75,2020-12-03 08:43:59.583919,2020-12-03 08:55:30.119424,0 days 00:11:30.535505,tanh,64,0.1,0.00014636805482528352,0.99,0.98,0.9672909979039224,0.12862165225738847,0.5,5,512,medium,64,0.22457090592496143,COMPLETE
22,22,0.75,2020-12-03 08:45:24.246090,2020-12-03 09:48:48.161511,0 days 01:03:23.915421,tanh,256,0.3,0.00012538328933093222,0.92,0.99,0.5568258557390982,3.243529744068457e-05,2.0,5,8,small,16,0.054152348236297554,COMPLETE
23,23,0.75,2020-12-03 08:55:30.163132,2020-12-03 09:13:30.740056,0 days 00:18:00.576924,tanh,32,0.2,0.0038531781820845493,0.95,0.95,-0.9304797298094023,0.05304205964340026,5.0,5,128,small,128,0.8244634849315702,COMPLETE
24,24,0.75,2020-12-03 09:13:30.778491,2020-12-03 10:12:30.128939,0 days 00:58:59.350448,tanh,16,0.1,2.524849596079444e-05,0.9,0.9,0.9577388252846388,0.7821476292407638,0.5,10,64,medium,-1,0.36628653408052647,COMPLETE
25,25,,2020-12-03 09:48:48.187145,,,tanh,512,0.3,0.02925227681869084,0.92,0.999,-1.720304339600454,0.001267189181235816,5.0,5,8,small,-1,0.9047848940850365,RUNNING
26,26,,2020-12-03 10:12:30.168683,,,tanh,8,0.2,8.519473557635188e-07,1.0,0.99,-2.8165770444772673,0.008585490115810052,0.6,20,2048,small,8,0.05810672981116349,RUNNING
