,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_episodic,params_gamma,params_lr,params_net_arch,params_noise_std,params_noise_type,params_tau,params_train_freq,state
45,45,6.851381999999999,2021-06-02 18:27:17.075468,2021-06-02 20:09:50.314931,0 days 01:42:33.239463,64,1000000,True,0.95,2.4725823717083947e-05,small,0.5039128006644696,ornstein-uhlenbeck,0.005,,COMPLETE
46,46,7.526887,2021-06-02 18:38:00.860880,2021-06-02 20:19:00.303806,0 days 01:40:59.442926,64,1000000,True,0.999,2.703385914344969e-05,small,0.4754573256702145,ornstein-uhlenbeck,0.005,,COMPLETE
47,47,0.0,2021-06-02 19:00:23.390015,2021-06-02 19:29:42.827514,0 days 00:29:19.437499,64,10000,False,0.9999,0.016913507315358175,big,0.15744585386039933,ornstein-uhlenbeck,0.01,2000.0,PRUNED
48,48,0.75,2021-06-02 19:29:42.837468,2021-06-02 21:10:07.171725,0 days 01:40:24.334257,100,10000,False,0.9999,0.007161452527368333,small,0.47574319316371444,ornstein-uhlenbeck,0.02,2000.0,COMPLETE
49,49,0.75,2021-06-02 20:08:10.174620,2021-06-02 21:54:37.596895,0 days 01:46:27.422275,100,10000,False,0.9999,0.008430004320494186,small,0.5965642248057453,ornstein-uhlenbeck,0.02,2000.0,COMPLETE
50,50,0.75,2021-06-02 20:09:50.352674,2021-06-02 21:54:17.606033,0 days 01:44:27.253359,100,10000,False,0.9999,0.008054056872240515,small,0.6018740331304093,ornstein-uhlenbeck,0.02,2000.0,COMPLETE
51,51,0.0,2021-06-02 20:19:00.341831,2021-06-02 20:49:14.130953,0 days 00:30:13.789122,100,10000,False,0.9999,0.0094861905801811,big,0.33135272740918487,ornstein-uhlenbeck,0.02,2000.0,PRUNED
52,52,0.75,2021-06-02 20:49:14.144954,2021-06-02 22:36:28.306438,0 days 01:47:14.161484,512,10000,False,0.995,0.0065200854555708485,small,0.591446262919385,ornstein-uhlenbeck,0.01,1000.0,COMPLETE
53,53,0.0,2021-06-02 21:10:07.204445,2021-06-02 21:40:40.570124,0 days 00:30:33.365679,512,10000,False,0.995,0.04303282436731576,small,0.6871271991046312,ornstein-uhlenbeck,0.01,1000.0,PRUNED
54,54,0.75,2021-06-02 21:40:40.578224,2021-06-02 23:28:17.265264,0 days 01:47:36.687040,512,1000000,True,0.9999,0.0012678216241738573,small,0.2885948787095703,ornstein-uhlenbeck,0.005,,COMPLETE
55,55,7.527824,2021-06-02 21:54:17.635393,2021-06-02 23:47:47.167914,0 days 01:53:29.532521,1024,1000000,True,0.98,0.0010675834674672112,small,0.5904484002749971,ornstein-uhlenbeck,0.005,,COMPLETE
56,56,0.75,2021-06-02 21:54:37.633906,2021-06-02 23:50:36.566640,0 days 01:55:58.932734,1024,1000000,True,0.98,0.0010493799791676617,small,0.2843921279955826,ornstein-uhlenbeck,0.005,,COMPLETE
57,57,7.751101,2021-06-02 22:36:28.331531,2021-06-03 00:26:18.354326,0 days 01:49:50.022795,1024,1000000,True,0.98,0.0014376670201224477,small,0.7029623296537103,ornstein-uhlenbeck,0.005,,COMPLETE
