,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_gamma,params_learning_starts,params_log_std_init,params_lr,params_net_arch,params_tau,params_train_freq,state
20,20,3.1826088428497314,2020-11-20 03:01:44.363009,2020-11-20 04:58:10.904690,0 days 01:56:26.541681,32,1000000,0.9999,0,0.6503613722239168,0.022538532143034775,small,0.001,16,COMPLETE
21,21,7.869284629821777,2020-11-20 03:26:30.971421,2020-11-20 05:09:36.794925,0 days 01:43:05.823504,512,1000000,0.98,20000,-1.2627633494364314,0.021524433074790378,medium,0.005,512,COMPLETE
22,22,0.75,2020-11-20 03:27:50.468790,2020-11-20 04:07:36.194971,0 days 00:39:45.726181,64,100000,0.98,0,-0.4765450270010403,0.031553989270078436,medium,0.005,8,PRUNED
23,23,0.7724088430404663,2020-11-20 04:07:36.205714,2020-11-20 04:38:32.805664,0 days 00:30:56.599950,64,1000000,0.995,20000,0.5887214019358495,2.2458315958578935e-05,medium,0.001,32,PRUNED
24,24,4.171914577484131,2020-11-20 04:38:32.818479,2020-11-20 06:37:48.991809,0 days 01:59:16.173330,32,1000000,0.999,20000,0.9856011257052222,8.942029658948167e-05,small,0.02,512,COMPLETE
25,25,7.643858432769775,2020-11-20 04:58:10.932191,2020-11-20 06:55:31.586818,0 days 01:57:20.654627,512,10000,0.95,0,-2.744077673664399,0.0031302209342659207,big,0.01,128,COMPLETE
26,26,7.514592170715332,2020-11-20 05:09:36.836822,2020-11-20 06:55:32.446006,0 days 01:45:55.609184,32,100000,0.9999,10000,-3.2192071421805815,0.00029365312298623605,big,0.005,64,COMPLETE
27,27,,2020-11-20 06:37:49.021059,,,32,10000,0.99,0,-0.3287173773153915,0.00014023644093473018,medium,0.02,512,RUNNING
28,28,0.75,2020-11-20 06:55:31.623387,2020-11-20 07:31:18.034189,0 days 00:35:46.410802,128,1000000,0.9999,1000,-1.894621626504685,0.13257998996617407,big,0.01,8,PRUNED
29,29,0.8035060167312622,2020-11-20 06:55:32.483641,2020-11-20 07:21:17.902582,0 days 00:25:45.418941,16,10000,0.999,20000,-1.140738113608705,1.8702757199397772e-05,small,0.02,16,PRUNED
30,30,,2020-11-20 07:21:17.914953,,,16,100000,0.99,10000,-1.255758521762285,0.0002204806844629405,small,0.001,8,RUNNING
31,31,,2020-11-20 07:31:18.045614,,,32,100000,0.995,20000,-2.1306459521843606,0.0011289349662387453,medium,0.01,256,RUNNING
