,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_gamma,params_learning_starts,params_log_std_init,params_lr,params_net_arch,params_tau,params_train_freq,state
55,55,0.75,2020-12-09 03:29:47.542841,2020-12-09 03:38:19.105739,0 days 00:08:31.562898,16,10000,0.995,20000,-3.5239583567381096,0.0014757584418854865,medium,0.02,512,PRUNED
56,56,0.75,2020-12-09 03:38:19.116194,2020-12-09 03:47:35.868384,0 days 00:09:16.752190,512,1000000,0.995,20000,-0.8942386822556019,0.11439206495162332,small,0.01,64,PRUNED
57,57,0.75,2020-12-09 03:47:35.905810,2020-12-09 03:55:28.150726,0 days 00:07:52.244916,16,10000,0.95,10000,0.5703991194298306,4.6478138739980955e-05,small,0.01,8,PRUNED
58,58,3.633209705352783,2020-12-09 03:55:28.161920,2020-12-09 04:49:56.829486,0 days 00:54:28.667566,64,1000000,0.995,0,-1.702186977952775,0.864447578562476,big,0.02,16,COMPLETE
59,59,0.75,2020-12-09 04:49:56.856535,2020-12-09 05:07:44.518372,0 days 00:17:47.661837,256,100000,0.99,10000,0.24909066867452,0.01374696945784923,medium,0.02,128,PRUNED
60,60,0.75,2020-12-09 05:07:44.529912,2020-12-09 05:30:52.114195,0 days 00:23:07.584283,256,1000000,0.95,20000,-3.2432911882593776,0.6307018976251826,big,0.005,512,PRUNED
61,61,0.75,2020-12-09 05:30:52.126515,2020-12-09 06:12:29.615542,0 days 00:41:37.489027,512,1000000,0.9999,0,-1.9609483129929917,0.04730018026075698,big,0.02,64,PRUNED
62,62,0.75,2020-12-09 06:12:29.635375,2020-12-09 06:21:13.728849,0 days 00:08:44.093474,16,10000,0.9,0,0.43292443289938287,0.29891844934343786,small,0.001,32,PRUNED
63,63,3.633209705352783,2020-12-09 06:21:13.739440,2020-12-09 07:00:49.070833,0 days 00:39:35.331393,32,100000,0.95,10000,0.46089254555054904,0.02171603056511163,medium,0.005,512,COMPLETE
64,64,1.0634658336639404,2020-12-09 07:00:49.111953,2020-12-09 08:36:27.884409,0 days 01:35:38.772456,256,1000000,0.99,20000,-3.481690958766264,0.0007911997522562671,big,0.01,128,COMPLETE
65,65,1.258014440536499,2020-12-09 08:36:27.906156,2020-12-09 09:42:18.216128,0 days 01:05:50.309972,256,1000000,0.999,10000,-1.8524309384798534,0.0032551632874935625,medium,0.001,512,COMPLETE
66,66,1.1588170528411865,2020-12-09 09:42:18.257826,2020-12-09 09:56:12.974357,0 days 00:13:54.716531,512,10000,0.98,0,-1.1827464617399,0.001591880329713366,small,0.001,64,PRUNED
67,67,0.75,2020-12-09 09:56:12.988066,2020-12-09 10:03:23.393577,0 days 00:07:10.405511,64,1000000,0.99,20000,-1.7292664505439808,0.27408079633366866,small,0.01,8,PRUNED
68,68,0.7480427026748657,2020-12-09 10:03:23.407421,2020-12-09 10:12:33.815088,0 days 00:09:10.407667,64,10000,0.995,0,-2.4177992134746216,2.9688763452420594e-05,small,0.01,8,PRUNED
69,69,0.7432438731193542,2020-12-09 10:12:33.828811,2020-12-09 10:40:22.949709,0 days 00:27:49.120898,512,100000,0.95,0,-0.7393712284791296,1.2783634174237603e-05,medium,0.001,256,PRUNED
70,70,0.7532258033752441,2020-12-09 10:40:22.960393,2020-12-09 10:48:59.762146,0 days 00:08:36.801753,128,1000000,0.995,10000,0.7761450661858893,1.9929570265073558e-05,small,0.001,8,PRUNED
71,71,0.75,2020-12-09 10:48:59.773523,2020-12-09 11:21:20.666492,0 days 00:32:20.892969,512,10000,0.98,20000,-2.7515777298839996,0.012731400426966475,big,0.01,8,PRUNED
72,72,0.7497398853302002,2020-12-09 11:21:20.679615,2020-12-09 11:28:45.755697,0 days 00:07:25.076082,128,1000000,0.9999,20000,-1.1154264123029902,1.1966147370174825e-05,small,0.01,512,PRUNED
73,73,2.536179304122925,2020-12-09 11:28:45.772456,2020-12-09 12:01:29.096918,0 days 00:32:43.324462,128,100000,0.98,0,-3.533200108498402,0.0009483248050249391,small,0.005,8,COMPLETE
74,74,0.75,2020-12-09 12:01:29.119403,2020-12-09 12:14:25.056149,0 days 00:12:55.936746,32,1000000,0.95,1000,0.3123528605517025,1.889854641167322e-05,big,0.01,256,PRUNED
75,75,0.75,2020-12-09 12:14:25.069737,2020-12-09 12:31:01.756339,0 days 00:16:36.686602,128,100000,0.9,1000,-2.2081282004268563,2.6225013568344094e-05,medium,0.001,512,PRUNED
76,76,0.75,2020-12-09 12:31:01.768063,2020-12-09 12:42:53.485673,0 days 00:11:51.717610,512,100000,0.98,0,-3.599862462408597,0.1336562185079775,small,0.01,128,PRUNED
77,77,0.75,2020-12-09 12:42:53.497653,2020-12-09 12:50:51.809660,0 days 00:07:58.312007,32,100000,0.99,10000,-0.21818308962309496,0.7442374782461453,small,0.01,8,PRUNED
78,78,1.0904098749160767,2020-12-09 12:50:51.822280,2020-12-09 13:20:42.963514,0 days 00:29:51.141234,32,1000000,0.9999,1000,-0.8163050825633622,0.0002502715802176129,small,0.02,256,COMPLETE
79,79,2.930441379547119,2020-12-09 13:20:42.991931,2020-12-09 15:38:20.523444,0 days 02:17:37.531513,512,1000000,0.99,10000,-1.4578309832695866,0.3096001885191497,big,0.02,16,COMPLETE
80,80,1.4115041494369507,2020-12-09 15:38:20.548383,2020-12-09 15:45:14.019245,0 days 00:06:53.470862,16,1000000,0.999,20000,-2.857368664195515,7.856286440766231e-05,small,0.001,128,PRUNED
81,81,1.565294861793518,2020-12-09 15:45:14.030591,2020-12-09 16:16:01.898584,0 days 00:30:47.867993,64,1000000,0.999,0,0.48404064632231414,0.0004232561020910552,small,0.001,64,COMPLETE
82,82,0.75,2020-12-09 16:16:01.924390,2020-12-09 16:32:52.301803,0 days 00:16:50.377413,128,10000,0.995,1000,-0.30333198143853135,0.33932921683457756,medium,0.02,64,PRUNED
83,83,0.75,2020-12-09 16:32:52.312660,2020-12-09 17:04:53.988481,0 days 00:32:01.675821,32,10000,0.95,1000,-2.84223427587046,0.0015677052679075338,small,0.001,64,COMPLETE
84,84,1.3839094638824463,2020-12-09 17:04:54.016808,2020-12-09 17:45:53.471138,0 days 00:40:59.454330,512,1000000,0.98,1000,-0.683386240966978,9.723195980928677e-05,small,0.01,32,COMPLETE
85,85,,2020-12-09 17:45:53.497197,,,128,1000000,0.9999,0,0.9835004195093893,1.8220046335480752e-05,big,0.001,256,RUNNING
