,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_gamma,params_learning_starts,params_log_std_init,params_lr,params_net_arch,params_tau,params_train_freq,system_attrs_fail_reason,state
22,22,7.701862,2020-12-23 15:08:45.429072,2020-12-23 16:21:10.852382,0 days 01:12:25.423310,64,10000,0.9999,0,-2.1832688114113465,0.0007933524950914115,medium,0.001,256,,COMPLETE
23,23,0.75,2020-12-23 16:21:10.874541,2020-12-23 16:42:19.759531,0 days 00:21:08.884990,16,100000,0.98,1000,-3.5683321371997767,0.12723426419094164,medium,0.01,8,,PRUNED
24,24,0.75,2020-12-23 16:42:19.769135,2020-12-23 17:03:43.448508,0 days 00:21:23.679373,256,10000,0.99,0,0.01728491239083141,0.12126823529369249,small,0.001,8,,PRUNED
25,25,7.696733,2020-12-23 17:03:43.460467,2020-12-23 18:10:29.592694,0 days 01:06:46.132227,512,100000,0.99,20000,-2.212355779336029,0.00013828887305888395,small,0.01,128,,COMPLETE
26,26,0.75,2020-12-23 18:10:29.611937,2020-12-23 18:32:06.152955,0 days 00:21:36.541018,512,1000000,0.999,0,-0.8403598359861029,0.04703821359294645,small,0.005,256,,PRUNED
27,27,7.445,2020-12-23 18:32:06.160588,2020-12-23 19:32:51.771961,0 days 01:00:45.611373,64,10000,0.995,20000,0.705251860833437,0.014498572291683097,small,0.02,128,,COMPLETE
28,28,0.75,2020-12-23 19:32:51.791662,2020-12-23 19:52:56.160361,0 days 00:20:04.368699,16,1000000,0.999,0,0.5519735906496477,0.033158123096940446,big,0.001,128,,PRUNED
29,29,7.753857999999999,2020-12-23 19:52:56.167518,2020-12-23 21:00:15.922087,0 days 01:07:19.754569,32,100000,0.98,1000,-3.203830048882949,0.0014150441119381307,medium,0.005,256,,COMPLETE
30,30,0.75,2020-12-23 21:00:15.941360,2020-12-23 21:16:12.329408,0 days 00:15:56.388048,256,10000,0.995,20000,-3.1371590911986065,0.09179310576079001,medium,0.001,256,,PRUNED
31,31,3.633214,2020-12-23 21:16:12.335874,2020-12-23 21:36:37.475126,0 days 00:20:25.139252,64,10000,0.95,1000,0.20015925767926745,0.0076615272340925,medium,0.01,16,,PRUNED
32,32,0.75,2020-12-23 21:36:37.483218,2020-12-23 21:56:39.111428,0 days 00:20:01.628210,256,1000000,0.995,1000,-1.926028086820231,0.6767013711474957,medium,0.01,32,,PRUNED
33,33,0.75,2020-12-23 21:56:39.118284,2020-12-23 22:12:43.715239,0 days 00:16:04.596955,64,1000000,0.9999,20000,-3.540787447171634,0.3079524714595544,big,0.02,256,,PRUNED
34,34,0.75,2020-12-23 22:12:43.722617,2020-12-23 22:30:31.208019,0 days 00:17:47.485402,128,100000,0.9999,10000,-3.971273008398129,0.0019318540594386237,small,0.005,16,,PRUNED
35,35,0.75,2020-12-23 22:30:31.215357,2020-12-23 22:49:59.156392,0 days 00:19:27.941035,256,10000,0.9999,0,0.6572137862267251,0.45589088144437256,medium,0.01,512,,PRUNED
36,36,0.75,2020-12-23 22:49:59.164161,2020-12-23 23:07:11.437291,0 days 00:17:12.273130,128,100000,0.995,10000,0.6854936521441317,0.08610686417821084,big,0.02,32,,PRUNED
37,37,3.633214,2020-12-23 23:07:11.445075,2020-12-23 23:22:17.758590,0 days 00:15:06.313515,32,10000,0.995,20000,0.437514085474743,0.12423109617073025,small,0.02,128,,PRUNED
38,38,6.932613999999999,2020-12-23 23:22:17.765305,2020-12-23 23:46:11.104486,0 days 00:23:53.339181,32,100000,0.9,0,-2.1710407314616242,0.0010198795682329483,small,0.001,256,,PRUNED
39,39,0.75,2020-12-23 23:46:11.114018,2020-12-24 00:05:50.948943,0 days 00:19:39.834925,16,100000,0.9999,0,-3.6646948021822037,0.08852886362587281,small,0.001,64,,PRUNED
40,40,0.75,2020-12-24 00:05:50.956841,2020-12-24 00:31:35.002577,0 days 00:25:44.045736,16,100000,0.99,20000,-2.311630844675941,0.013706370658330188,big,0.001,128,,PRUNED
41,41,0.75,2020-12-24 00:31:35.011556,2020-12-24 00:51:31.466785,0 days 00:19:56.455229,32,1000000,0.99,0,-2.7296747635844785,0.07582317612263806,small,0.02,128,,PRUNED
42,42,0.789798,2020-12-24 00:51:31.472487,2020-12-24 01:11:38.443693,0 days 00:20:06.971206,16,1000000,0.98,0,0.797181985396124,2.8563149522438472e-05,medium,0.001,128,,PRUNED
43,43,0.75,2020-12-24 01:11:38.451537,2020-12-24 01:27:35.211996,0 days 00:15:56.760459,512,1000000,0.999,20000,-3.965635272251756,0.04470579624105799,small,0.02,16,,PRUNED
44,44,0.790112,2020-12-24 01:27:35.220376,2020-12-24 01:45:34.541073,0 days 00:17:59.320697,32,100000,0.95,10000,-2.51061654536204,2.1637255399199178e-05,medium,0.01,32,,PRUNED
45,45,3.633214,2020-12-24 01:45:34.548035,2020-12-24 02:05:30.103869,0 days 00:19:55.555834,256,10000,0.98,1000,-0.19071734306508414,0.13772869459320897,small,0.005,128,,PRUNED
46,46,3.633214,2020-12-24 02:05:30.110819,2020-12-24 02:25:47.511201,0 days 00:20:17.400382,32,100000,0.9999,0,-3.843191242885596,0.3304072797419242,medium,0.005,32,,PRUNED
47,47,0.75,2020-12-24 02:25:47.518313,2020-12-24 02:41:52.237352,0 days 00:16:04.719039,64,1000000,0.98,20000,-3.355071437821147,0.7832708630358369,big,0.01,64,,PRUNED
48,48,0.792631,2020-12-24 02:41:52.243631,2020-12-24 02:59:47.604641,0 days 00:17:55.361010,256,1000000,0.99,10000,-1.3260266464568224,1.5199387876559592e-05,small,0.005,256,,PRUNED
49,49,7.161215,2020-12-24 02:59:47.611594,2020-12-24 03:19:28.065540,0 days 00:19:40.453946,32,1000000,0.9,1000,-1.0602238680082188,0.00241925035239184,small,0.02,512,,PRUNED
50,50,7.7524619999999995,2020-12-24 03:19:28.072394,2020-12-24 04:21:16.056452,0 days 01:01:47.984058,64,100000,0.99,20000,-1.6366820578895416,0.00014858295390350414,small,0.005,32,,COMPLETE
