#{"t_start": 1605916160.06421, "env_id": "fishing-v1"}
r,l,t
0.75,1,3.865722
0.75,1,3.867812
0.75,1,3.869779
0.75,1,3.871816
0.75,1,3.873988
0.75,1,3.875838
0.75,1,3.878246
0.75,1,3.880679
0.75,1,3.882739
0.75,1,3.884249
0.75,1,3.885949
0.75,1,3.887684
0.75,1,3.889298
0.75,1,3.891113
0.75,1,3.892921
0.75,1,3.894859
0.75,1,3.896267
0.75,1,3.89834
0.75,1,3.900561
0.75,1,3.903096
0.75,1,3.905333
0.75,1,3.907532
0.75,1,3.909589
0.75,1,3.911146
0.75,1,3.913161
0.75,1,3.915454
0.75,1,3.917856
0.75,1,3.920055
0.75,1,3.922147
0.75,1,3.924305
0.75,1,3.926464
0.75,1,3.928884
0.75,1,3.931258
0.75,1,3.933721
0.75,1,3.936481
0.75,1,3.939206
0.75,1,3.941084
0.75,1,3.943489
0.75,1,3.945706
0.75,1,3.947935
0.75,1,3.950258
0.75,1,3.952856
0.75,1,3.955087
0.75,1,3.957138
0.75,1,3.959323
0.75,1,3.961553
0.75,1,3.96467
0.75,1,3.966717
0.75,1,3.969228
0.75,1,3.97187
0.75,1,3.974034
0.75,1,3.97608
0.75,1,3.978264
0.75,1,3.980272
0.75,1,3.982269
0.75,1,3.98414
0.75,1,3.986315
0.75,1,3.988456
0.75,1,3.990427
0.75,1,3.992731
0.75,1,3.995298
0.75,1,3.997372
0.75,1,3.999681
0.75,1,4.002124
0.75,1,4.004167
0.75,1,4.00646
0.75,1,4.008499
0.75,1,4.01034
0.75,1,4.012622
0.75,1,4.014521
0.75,1,4.016184
0.75,1,4.018253
0.75,1,4.020567
0.75,1,4.022836
0.75,1,4.024802
0.75,1,4.026712
0.75,1,4.028818
0.75,1,4.030807
0.75,1,4.033061
0.75,1,4.035264
0.75,1,4.037167
0.75,1,4.038973
0.75,1,4.040333
0.75,1,4.04203
0.75,1,4.044174
0.75,1,4.046426
0.75,1,4.048466
0.75,1,4.05038
0.75,1,4.052032
0.75,1,4.053626
0.75,1,4.055637
0.75,1,4.057621
0.75,1,4.059215
0.75,1,4.061262
0.75,1,4.063213
0.75,1,4.065354
0.75,1,4.067251
0.75,1,4.069335
0.75,1,4.071215
0.75,1,4.073528
0.75,1,4.07611
0.75,1,4.078072
0.75,1,4.07989
0.75,1,4.081578
0.75,1,4.083266
0.75,1,4.084915
0.75,1,4.086838
0.75,1,4.088512
0.75,1,4.090573
0.75,1,4.092762
0.75,1,4.094617
0.75,1,4.096848
0.75,1,4.099277
0.75,1,4.101506
0.75,1,4.103578
0.75,1,4.10542
0.75,1,4.107303
0.75,1,4.108961
0.75,1,4.110972
0.75,1,4.113254
0.75,1,4.115003
0.75,1,4.11681
0.75,1,4.118413
0.75,1,4.120294
0.75,1,4.122178
0.75,1,4.124135
0.75,1,4.125862
0.75,1,4.127997
0.75,1,4.12984
0.75,1,4.131832
0.75,1,4.134058
0.75,1,4.135823
0.75,1,4.137708
0.75,1,4.139568
0.75,1,4.141424
0.75,1,4.143409
0.75,1,4.145166
0.75,1,4.14723
0.75,1,4.149564
0.75,1,4.15177
0.75,1,4.153559
0.75,1,4.155569
0.75,1,4.157079
0.75,1,4.158846
0.75,1,4.160898
