,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_episodic,params_gamma,params_lr,params_net_arch,params_noise_std,params_noise_type,params_train_freq,system_attrs_fail_reason,state
28,28,7.594735,2020-12-23 14:29:55.644792,2020-12-23 15:11:05.983820,0 days 00:41:10.339028,16,10000,False,0.99,9.22980043916473e-05,big,0.33475794039183604,ornstein-uhlenbeck,256.0,,COMPLETE
29,29,0.0,2020-12-23 15:11:06.003670,2020-12-23 15:23:20.852338,0 days 00:12:14.848668,100,1000000,True,0.9,0.10025534509882658,small,0.1459244488503466,,,,PRUNED
30,30,0.75,2020-12-23 15:23:20.861048,2020-12-23 16:17:49.530465,0 days 00:54:28.669417,32,1000000,True,0.9999,0.0013836271894886697,small,0.6523837063558514,,,,COMPLETE
31,31,7.704307,2020-12-23 16:17:49.552679,2020-12-23 16:59:59.254796,0 days 00:42:09.702117,256,10000,True,0.95,1.9494361625407814e-05,medium,0.2833662557478952,,,,COMPLETE
32,32,0.75,2020-12-23 16:59:59.273507,2020-12-23 17:56:56.792248,0 days 00:56:57.518741,64,1000000,True,0.9999,0.0033785541967109598,big,0.9911372249492024,ornstein-uhlenbeck,,,COMPLETE
33,33,0.75,2020-12-23 17:56:56.809956,2020-12-23 18:38:16.012607,0 days 00:41:19.202651,16,1000000,False,0.99,0.010631101934837737,big,0.34395758265604814,normal,2000.0,,COMPLETE
34,34,0.0,2020-12-23 18:38:16.031931,2020-12-23 19:17:15.636311,0 days 00:38:59.604380,64,10000,False,0.95,0.0020123812039945506,medium,0.3346968279927498,normal,2000.0,,COMPLETE
35,35,0.75,2020-12-23 19:17:15.655839,2020-12-23 19:56:03.843380,0 days 00:38:48.187541,128,1000000,False,0.95,0.11298959481407694,small,0.5845329812257354,ornstein-uhlenbeck,256.0,,COMPLETE
36,36,0.75,2020-12-23 19:56:03.861354,2020-12-23 20:36:01.639594,0 days 00:39:57.778240,512,1000000,False,0.9,0.0014127791850574594,big,0.7606215790353423,normal,2000.0,,COMPLETE
37,37,0.75,2020-12-23 20:36:01.658685,2020-12-23 21:29:18.403194,0 days 00:53:16.744509,100,100000,False,0.95,0.5596127822704167,medium,0.2949316265197387,,1.0,,COMPLETE
38,38,0.75,2020-12-23 21:29:18.421569,2020-12-23 22:19:20.084989,0 days 00:50:01.663420,64,10000,True,0.98,0.0963651070620104,small,0.7980626112647357,normal,,,COMPLETE
39,39,7.729135000000001,2020-12-23 22:19:20.103555,2020-12-23 22:58:15.522087,0 days 00:38:55.418532,100,1000000,False,0.95,0.000204035614528432,medium,0.8823149911085894,ornstein-uhlenbeck,256.0,,COMPLETE
40,40,0.75,2020-12-23 22:58:15.537915,2020-12-23 23:47:20.609254,0 days 00:49:05.071339,256,10000,False,0.99,0.00021169937397956518,medium,0.06698587615279028,,1.0,,COMPLETE
41,41,0.0,2020-12-23 23:47:20.626446,2020-12-23 23:59:16.611183,0 days 00:11:55.984737,128,1000000,True,0.98,0.00969568962566403,medium,0.4722004327503264,,,,PRUNED
42,42,0.75,2020-12-23 23:59:16.619615,2020-12-24 00:50:13.660473,0 days 00:50:57.040858,128,1000000,True,0.995,0.004020132668694595,small,0.565274785082872,,,,COMPLETE
43,43,0.75,2020-12-24 00:50:13.679006,2020-12-24 01:29:27.340373,0 days 00:39:13.661367,256,10000,False,0.98,0.00013461731353647019,big,0.6206109525642816,normal,2000.0,,COMPLETE
44,44,0.75,2020-12-24 01:29:27.360383,2020-12-24 02:09:35.175825,0 days 00:40:07.815442,128,1000000,False,0.9,0.10969343335803002,big,0.7639408143133223,ornstein-uhlenbeck,256.0,,COMPLETE
